,tweet_text,tokenized_text,Subjectivity,polarity,nb_pronouns,nb_numerals,nb_exclm,nb_ques,count_modal_verbs,count_wh_words,nb_slang,label
0,Prayers for Cabo: Hurricane Odile Roars Through Cabo San Lucas http://t.co/y0WuS1KXlj via @BloombergTV,"['Prayers', 'Cabo', ':', 'Hurricane', 'Odile', 'Roars', 'Through', 'Cabo', 'San', 'Lucas', 'http', ':', '//t.co/y0WuS1KXlj', 'via', '@', 'BloombergTV']",0.0,0.0,0,0,0,0,0,0,0,sympathy_and_emotional_support
1,Sammy Hagar's Home Damaged in Hurricane: Sammy Hagar's home was damaged as Hurricane Odile slammed into Cabo S... http://t.co/kaKbfZwAd9,"['Sammy', 'Hagar', ""'s"", 'Home', 'Damaged', 'Hurricane', ':', 'Sammy', 'Hagar', ""'s"", 'home', 'damaged', 'Hurricane', 'Odile', 'slammed', 'Cabo', 'S', '...', 'http', ':', '//t.co/kaKbfZwAd9']",0.0,0.0,0,0,0,0,0,0,0,infrastructure_and_utilities_damage
2,Residents Tourists Sent to Shelters as Hurricane Odile Makes Landfall – ABC News http://t.co/O0tNjheiyb #happening #now #check #out #news,"['Residents', 'Tourists', 'Sent', 'Shelters', 'Hurricane', 'Odile', 'Makes', 'Landfall', '–', 'ABC', 'News', 'http', ':', '//t.co/O0tNjheiyb', '#', 'happening', '#', '#', 'check', '#', '#', 'news']",0.0,0.0,0,0,0,0,0,0,0,displaced_people_and_evacuations
3,Our thoughts go out to all of our friends in Los Cabos and Baja Mexico after being hit by Hurricane #Odile. Be safe everyone.,"['Our', 'thoughts', 'go', 'friends', 'Los', 'Cabos', 'Baja', 'Mexico', 'hit', 'Hurricane', '#', 'Odile', '.', 'Be', 'safe', 'everyone', '.']",0.5,0.5,2,0,0,0,0,0,0,sympathy_and_emotional_support
4,Does anyone have information on emergency services and potable water in La Paz BCS? #odile #HurricaneODILE #LaPaz,"['Does', 'anyone', 'information', 'emergency', 'services', 'potable', 'water', 'La', 'Paz', 'BCS', '?', '#', 'odile', '#', 'HurricaneODILE', '#', 'LaPaz']",0.0,0.0,0,0,0,1,0,0,0,other_useful_information
5,RT @dsamuel: Wow! My wife in this airport yesterday “@PzFeed: Tragic sight of Cabo Airport after hurricane Odile paid a visit http://t.co/G…,"['RT', '@', 'dsamuel', ':', 'Wow', '!', 'My', 'wife', 'airport', 'yesterday', '“', '@', 'PzFeed', ':', 'Tragic', 'sight', 'Cabo', 'Airport', 'hurricane', 'Odile', 'paid', 'visit', 'http', ':', '//t.co/G…']",0.875,-0.3125,1,0,1,0,0,0,0,other_useful_information
6,In case of a hurricane we're happy to provide post-storm cleanup services to our clients but this is a little much. http://t.co/6jrWGQ9KGm,"['In', 'case', 'hurricane', ""'re"", 'happy', 'provide', 'post-storm', 'cleanup', 'services', 'clients', 'little', 'much', '.', 'http', ':', '//t.co/6jrWGQ9KGm']",0.5666666666666667,0.2708333333333333,2,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
7,(09/22) ONE WAY TO HELP ODILE VICTIMS  #surfing http://t.co/mUjnzMgQqw,"['(', '09/22', ')', 'ONE', 'WAY', 'TO', 'HELP', 'ODILE', 'VICTIMS', '#', 'surfing', 'http', ':', '//t.co/mUjnzMgQqw']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
8,We are a community @diamondresorts - Please help us provide emergency relief to those impacted in Baja Sur. #odile. http://t.co/FIRX5VSpWy,"['We', 'community', '@', 'diamondresorts', '-', 'Please', 'help', 'us', 'provide', 'emergency', 'relief', 'impacted', 'Baja', 'Sur', '.', '#', 'odile', '.', 'http', ':', '//t.co/FIRX5VSpWy']",0.0,0.0,2,0,0,0,0,0,0,donation_needs_or_offers_or_volunteering_services
9,RT @JujiThompson: My thoughts are with those currently suffering the wrath of Hurricane #Odile.,"['RT', '@', 'JujiThompson', ':', 'My', 'thoughts', 'currently', 'suffering', 'wrath', 'Hurricane', '#', 'Odile', '.']",0.4,0.0,1,0,0,0,0,0,0,sympathy_and_emotional_support
