,tweet_text,tokenized_text,Subjectivity,polarity,nb_pronouns,nb_numerals,nb_exclm,nb_ques,count_modal_verbs,count_wh_words,nb_slang,label
0,RT @QuestionsNG: Ebola is not gonna come close to you your friends &amp; family members IJN RT to claim #FINE_GURL_by_meadow #SuegbeNakpako_by…,"['RT', '@', 'QuestionsNG', ':', 'Ebola', 'gon', 'na', 'come', 'close', 'friends', '&', 'amp', ';', 'family', 'members', 'IJN', 'RT', 'claim', '#', 'FINE_GURL_by_meadow', '#', 'SuegbeNakpako_by…']",0.0,0.0,2,0,0,0,0,0,0,other_useful_information
1,It's too funny to watch MSNBC put an infectious disease split a screen between an infectious disease doctor and a reporter.  #derp #Ebola,"['It', ""'s"", 'funny', 'watch', 'MSNBC', 'put', 'infectious', 'disease', 'split', 'screen', 'infectious', 'disease', 'doctor', 'reporter', '.', '#', 'derp', '#', 'Ebola']",1.0,0.25,1,0,0,0,0,0,0,treatment
2,RT @mikecalma: How the #GOP fights infectious disease. #Ebola http://t.co/AYEQvblXLU,"['RT', '@', 'mikecalma', ':', 'How', '#', 'GOP', 'fights', 'infectious', 'disease', '.', '#', 'Ebola', 'http', ':', '//t.co/AYEQvblXLU']",0.0,0.0,0,0,0,0,0,1,0,other_useful_information
3,@drbrainbugz it's all about spin! Guaranteed tho questions will be raised re @WHO role post #ebola containment,"['@', 'drbrainbugz', ""'s"", 'spin', '!', 'Guaranteed', 'tho', 'questions', 'raised', '@', 'WHO', 'role', 'post', '#', 'ebola', 'containment']",0.0,0.0,1,0,1,0,0,1,0,other_useful_information
4,WHO officially declares that #Senegal has ended #Ebola transmission within its borders http://t.co/dhb0K0iCwb,"['WHO', 'officially', 'declares', '#', 'Senegal', 'ended', '#', 'Ebola', 'transmission', 'within', 'borders', 'http', ':', '//t.co/dhb0K0iCwb']",0.0,0.0,1,0,0,0,0,1,0,disease_transmission
5,#Ebola SYMPTOMS Sudden onset of fever Weakness Muscle pain Headache Sore throat Followed by Vomitin Diarrhea Rash internal/external bleeding,"['#', 'Ebola', 'SYMPTOMS', 'Sudden', 'onset', 'fever', 'Weakness', 'Muscle', 'pain', 'Headache', 'Sore', 'throat', 'Followed', 'Vomitin', 'Diarrhea', 'Rash', 'internal/external', 'bleeding']",0.5,0.0,0,0,0,0,0,0,0,disease_signs_or_symptoms
6,"Our look at ebola treatment @NewsHour: ""I was faced with resistance: 'You can’t do experiments during an outbreak.' http://t.co/YwrxyVl3nO","['Our', 'look', 'ebola', 'treatment', '@', 'NewsHour', ':', '``', 'I', 'faced', 'resistance', ':', ""'You"", '’', 'experiments', 'outbreak', '.', ""'"", 'http', ':', '//t.co/YwrxyVl3nO']",0.0,0.0,2,0,0,0,0,0,0,treatment
7,Outbreak of Ebola Virus Disease in Guinea: Ecology Meets Economy http://t.co/RlYhpd31vR via @MicroBytes,"['Outbreak', 'Ebola', 'Virus', 'Disease', 'Guinea', ':', 'Ecology', 'Meets', 'Economy', 'http', ':', '//t.co/RlYhpd31vR', 'via', '@', 'MicroBytes']",0.0,0.0,0,0,0,0,0,0,0,other_useful_information
8,RT @itsmenanice: Read this. From Miasma to #Ebola: The History of Racist Moral Panic Over Disease http://t.co/H4ZCfCLYVx http://t.co/u5P3hU…,"['RT', '@', 'itsmenanice', ':', 'Read', '.', 'From', 'Miasma', '#', 'Ebola', ':', 'The', 'History', 'Racist', 'Moral', 'Panic', 'Over', 'Disease', 'http', ':', '//t.co/H4ZCfCLYVx', 'http', ':', '//t.co/u5P3hU…']",0.25,0.0,0,0,0,0,0,0,0,other_useful_information
9,I am a disease if you contact me you will die before the next 21 days. what am i. A: HIV B: EBOLA C: AIDS,"['I', 'disease', 'contact', 'die', 'next', '21', 'days', '.', '.', 'A', ':', 'HIV', 'B', ':', 'EBOLA', 'C', ':', 'AIDS']",0.0,0.0,4,1,0,0,0,0,0,not_related_or_irrelevant
